region_casen,comuna_code,comuna,inc_pc_comuna,poor_comuna,poor_ext_comuna,fonasa_comuna,Pop,area_km2,density
5,5602,Algarrobo,407323.09,0.020697923,0,0.79612201,15174,177.136,85.662994
13,13502,Alhue,312012.25,0.043410853,0.022148395,0.78959024,7405,843.611,8.7777424
8,8314,Alto Biobio,149126.77,0.37510622,0.21877655,0.9717502,6775,2107.22,3.2151365
1,1107,Alto Hospicio,217416.8,0.083428502,0.021107182,0.80790889,129999,578.378,224.76477
3,3302,Alto del Carmen,203220.86,0.078444593,0.006967858,0.87862444,5729,6084.02,0.94164711
10,10202,Ancud,236279.05,0.16174755,0.061266169,0.82011575,42458,1777.6,23.885014
4,4103,Andacollo,207404.73,0.1701052,0,0.87361664,11791,513.018,22.983599
9,9201,Angol,262011.16,0.15221182,0.026902648,0.86345941,56058,1199.18,46.746944
2,2101,Antofagasta,409067.97,0.051268809,0.018727385,0.66189796,425725,30985.9,13.739314
8,8302,Antuco,212852.59,0.38228229,0.20005971,0.97163332,4306,1957.07,2.200228
8,8202,Arauco,279680.19,0.16447353,0.076770321,0.88093835,38679,963.714,40.135353
15,15101,Arica,292131.41,0.082197584,0.023966435,0.75708157,247552,4823.97,51.31707
11,11201,Aysen,346571.63,0.088346347,0.024817625,0.7858426,25002,29718.8,0.84128565
13,13402,Buin,242376.95,0.08836028,0,0.87055993,109641,218.849,500.98926
16,16102,Bulnes,205184.22,0.13843854,0.025930945,0.92482364,22607,426.502,53.005611
5,5402,Cabildo,381596.75,0.1680586,0.006438669,0.845052,20663,1454.36,14.207624
8,8303,Cabrero,212635.72,0.091263317,0.02806697,0.93360728,30725,658.644,46.648872
2,2201,Calama,440256.38,0.04480176,0.004834767,0.74306375,190336,15509.9,12.271904
10,10102,Calbuco,287382.97,0.12956414,0.034897909,0.91442287,36744,586.824,62.615025
3,3102,Caldera,278022.69,0.14235018,0.057381988,0.83448273,19426,3696.97,5.2545733
5,5502,Calera,195985.53,0.15630063,0.043072596,0.86528015,53591,59.5623,899.74701
13,13403,Calera de Tango,263271.72,0.033021115,0.005207176,0.83432293,28525,73.0349,390.56671
5,5302,Calle Larga,184004.5,0.19892919,0.055847872,0.90316623,16482,322.199,51.15472
15,15102,Camarones,235631.56,0.1701553,0.1458474,0.77987844,1233,3623.95,0.34023649
1,1402,Camina,281897.59,0,0,0.85096157,1375,2261.33,0.60804927
4,4202,Canela,198898.09,0.27109835,0.053481057,0.94556147,9546,2199.17,4.3407288
8,8203,Canete,214581.55,0.14619644,0.044324074,0.9328441,37003,1090.68,33.92654
9,9102,Carahue,222273.53,0.22440696,0.090024948,0.89623243,25486,1341.13,19.003378
5,5603,Cartagena,300145.44,0.059548527,0,0.92829132,25357,244.152,103.85743
5,5102,Casablanca,291883.28,0.090660311,0.008562854,0.8330391,29170,954.15,30.571712
10,10201,Castro,314654.75,0.11170303,0.018926371,0.79260987,47607,469.41,101.4188
5,5702,Catemu,186383.7,0.17868315,0.027037092,0.92268735,15213,361.908,42.035545
7,7201,Cauquenes,215649.75,0.19798139,0.060588766,0.87513673,44143,2128.46,20.739408
13,13102,Cerrillos,267197.56,0.068826593,0.040050104,0.83081114,88956,16.6159,5353.6675
13,13103,Cerro Navia,254862.39,0.072224595,0.022624169,0.84618413,142465,11.0667,12873.305
3,3201,Chanaral,242087.06,0.15717965,0,0.76023442,13164,5748.02,2.29018
7,7202,Chanco,187270.64,0.20612843,0.054831706,0.94321388,9331,526.471,17.723673
6,6302,Chepica,198816.47,0.091425158,0.017478339,0.87197489,15925,482.114,33.031605
8,8103,Chiguayante,302884.97,0.097778998,0.036940333,0.82077557,91180,75.1236,1213.7332
11,11401,Chile Chico,393727.97,0.032077584,0,0.81480789,5121,5728.07,0.89401841
16,16101,Chillan,281736.31,0.11564477,0.027037473,0.82947403,198624,476.358,416.96371
16,16103,Chillan Viejo,178566.86,0.20895855,0.066256508,0.87032658,33827,262.383,128.92223
6,6303,Chimbarongo,185980.5,0.15889291,0.014566851,0.93130732,37696,507.735,74.243454
9,9121,Cholchol,136104.11,0.46297014,0.1509306,0.95153159,12341,397.717,31.029602
10,10203,Chonchi,381259.91,0.11750912,0.05536738,0.87330639,16013,1365.84,11.723921
11,11202,Cisnes,360477.06,0.073500969,0.06073501,0.98162478,5828,15330.7,0.38015226
16,16202,Cobquecura,169154.06,0.40118533,0.20259504,0.95697701,5275,570.31,9.2493553
11,11301,Cochrane,409862.84,0.052694611,0.023952097,0.81836325,3685,8661.91,0.4254258
6,6102,Codegua,239499.25,0.051852971,0,0.95335495,14096,284.558,49.536472
16,16203,Coelemu,242815.34,0.15721917,0.045375701,0.86366475,16845,341.749,49.290562
16,16302,Coihueco,175714.08,0.22502133,0.046645809,0.92759335,28375,1774.56,15.98988
6,6103,Coinco,208093.81,0.17676634,0.033209845,0.90976447,7831,98.655,79.377632
7,7402,Colbun,195519.52,0.30231935,0.032138839,0.92024213,22565,2928.2,7.7060995
13,13301,Colina,457273.91,0.060491525,0.020982239,0.82173979,180353,969.694,185.98959
9,9202,Collipulli,189981.77,0.24986272,0.047226798,0.92187113,26148,1308.56,19.982271
6,6104,Coltauco,216879.14,0.15538959,0.047486346,0.91466951,21263,221.928,95.810356
4,4302,Combarbala,193585.08,0.16065161,0.099630997,0.90009898,13884,2297.38,6.043406
8,8101,Concepcion,372993.47,0.092616141,0.030361682,0.75037497,238092,219.405,1085.1713
13,13104,Conchali,285380.59,0.072320648,0.009350075,0.80764765,139195,10.9951,12659.73
5,5103,Concon,381142.09,0.021096839,0,0.75368863,45889,76.0477,603.42389
7,7102,Constitucion,285326.13,0.063399173,0.004424008,0.802522,50348,1340.75,37.552116
8,8204,Contulmo,179977.92,0.27202013,0.054221001,0.96431023,6330,639.437,9.899333
3,3101,Copiapo,352145.16,0.058592644,0.020111529,0.72855657,171766,17606,9.7561054
4,4102,Coquimbo,225324.91,0.13684201,0.035834752,0.91710347,256735,1431.22,179.38193
8,8102,Coronel,274405.19,0.10715592,0.024274044,0.88804501,125829,278.792,451.33649
14,14102,Corral,177004.92,0.25922573,0.15168667,0.93366539,5447,719.417,7.5714087
11,11101,Coyhaique,458116.06,0.030281499,0.003400325,0.73665243,61210,7271.73,8.4175291
9,9103,Cunco,217681.09,0.17391305,0.028896574,0.89389712,18055,1888.92,9.5583715
9,9203,Curacautin,236195.08,0.12234195,0.031034483,0.90014368,18178,1658.65,10.959516
13,13503,Curacavi,275592.47,0.08490929,0.041498907,0.79672194,36430,694.984,52.418472
10,10204,Curaco de Velez,208440.97,0.17248908,0.021834061,0.93668121,4066,79.1939,51.342339
8,8205,Curanilahue,227130.14,0.11397917,0.023339255,0.93033057,33892,999.845,33.897255
9,9104,Curarrehue,240920.19,0.20373879,0.03524062,0.93393964,7802,1163.45,6.7059178
7,7103,Curepto,204450.59,0.13881718,0.061957289,0.95986855,9426,1070.49,8.8053131
7,7301,Curico,282046,0.091353573,0.023501292,0.81190288,163626,1333,122.75019
10,10205,Dalcahue,283545.13,0.095274642,0,0.82551253,15069,1243.14,12.121724
3,3202,Diego de Almagro,329808.72,0.068733975,0.024050787,0.75314367,14358,19134.9,0.75035667
6,6105,Donihue,253540.64,0.066156946,0.010896438,0.80885452,22700,80.2388,282.90552
13,13105,El Bosque,254091.52,0.093020216,0.025109192,0.85211301,172000,14.2697,12053.512
16,16104,El Carmen,167688.66,0.31172782,0.1214598,0.90999812,12334,666.726,18.499353
13,13602,El Monte,266322.75,0.11229154,0.027702285,0.84505868,40014,115.374,346.81992
5,5604,El Quisco,276022.47,0.019125683,0.019125683,0.91099203,17742,52.4089,338.53027
5,5605,El Tabo,277627.5,0.048047222,0,0.89951265,14338,100.478,142.69791
7,7104,Empedrado,195877.09,0.15912719,0.022618415,0.95769024,4206,566.299,7.4271717
9,9204,Ercilla,166329.22,0.20706205,0.059993144,0.95394814,8458,497.902,16.987278
13,13106,Estacion Central,324016.69,0.05728063,0.019303812,0.68570071,206792,14.9156,13864.143
8,8104,Florida,196759.09,0.18126027,0.046027396,0.94947946,11841,607.325,19.496975
9,9105,Freire,196753.84,0.24474843,0.084277771,0.8798455,25446,938.794,27.104988
3,3303,Freirina,206147.95,0.17704518,0.098377816,0.93929881,7681,3242.26,2.3690267
10,10104,Fresia,228442.81,0.18177746,0.035119154,0.90933526,12656,1287.68,9.8285284
10,10105,Frutillar,254227.58,0.080602348,0.03185093,0.88483828,20223,826.272,24.474991
14,14202,Futrono,225637.48,0.11716193,0.030108653,0.94868439,15261,2089.89,7.3022981
9,9106,Galvarino,155706.97,0.38983744,0.096615888,0.94172376,12633,568.135,22.235912
9,9107,Gorbea,234549.47,0.092314899,0,0.86377025,15148,690.911,21.924677
6,6106,Graneros,270350.09,0.066646345,0.006829268,0.8314634,36504,112.635,324.09109
5,5503,Hijuelas,215101.78,0.073001392,0.035806388,0.91951001,19099,267.993,71.266785
7,7302,Hualane,205147.44,0.2347593,0.051679585,0.88955879,10222,629.893,16.228153
8,8112,Hualpen,276118.38,0.099359415,0.021593383,0.87867403,97273,53.6894,1811.7729
8,8105,Hualqui,190202.14,0.12930611,0.021694554,0.92429459,26201,540.906,48.439102
1,1404,Huara,286690.72,0.11209863,0.068233944,0.91198397,3000,10708,0.28016436
3,3304,Huasco,271126.81,0.076672316,0.024775069,0.79567087,11264,1595.41,7.0602541
13,13107,Huechuraba,280363.72,0.059735429,0.002786346,0.84077698,112528,44.7403,2515.1375
4,4201,Illapel,223684.89,0.1111443,0.011051374,0.92506307,32801,2627.51,12.483683
13,13108,Independencia,310174.53,0.10366997,0.038477462,0.71380562,142065,7.51475,18904.82
1,1101,Iquique,359615.47,0.046951476,0.013054585,0.70336068,223463,2398.63,93.162766
13,13603,Isla de Maipo,207814.25,0.085788898,0.025549719,0.94655627,40171,187.321,214.45006
13,13109,La Cisterna,369225.06,0.079589449,0.020725219,0.70724392,100434,10.0762,9967.4482
5,5504,La Cruz,244794,0.085951358,0.011788269,0.8518455,25321,78.0868,324.26736
6,6202,La Estrella,223385.55,0.16186072,0.023122959,0.89581066,3114,429.374,7.2524185
13,13110,La Florida,367214.81,0.044243209,0.012649418,0.69305044,402433,71.0373,5665.0942
13,13111,La Granja,270071.81,0.041993037,0.014636243,0.88610584,122557,10.0595,12183.21
4,4104,La Higuera,175091.52,0.21346514,0.12156025,0.899813,4450,4183.93,1.0635933
5,5401,La Ligua,225425.55,0.2004796,0.023430085,0.83354151,37739,1169.61,32.266312
13,13112,La Pintana,211826.83,0.14509439,0.038768083,0.9316234,189335,30.4912,6209.4966
13,13113,La Reina,916795.38,0.008355878,0.008249374,0.36350214,100252,23.3346,4296.2813
4,4101,La Serena,353201.97,0.10378677,0.037464038,0.86306977,249656,1906.21,130.96983
14,14201,La Union,234471.47,0.13186751,0.035175599,0.87407303,39538,2145.04,18.432291
14,14203,Lago Ranco,230962.19,0.10285781,0,0.90848082,10292,1765.5,5.8295102
8,8304,Laja,189945.36,0.16945069,0.041867439,0.91899562,23873,345.505,69.095963
13,13302,Lampa,382349.63,0.032846209,0.004060069,0.77276224,126898,449.555,282.27469
14,14103,Lanco,198810.88,0.19523248,0.035011485,0.88130856,17652,532.442,33.152908
6,6107,Las Cabras,199851.66,0.15308642,0.036479492,0.92477101,26749,753.478,35.500706
13,13114,Las Condes,1280186.5,0.00182385,0.00119975,0.23566709,330759,98.3961,3361.5051
9,9108,Lautaro,265453.28,0.14749424,0.056201339,0.88493806,40746,907.435,44.90239
8,8201,Lebu,282401.53,0.11342481,0.01709196,0.96364951,27100,567.532,47.75061
7,7303,Licanten,194357.77,0.24943879,0.066024035,0.88181698,6989,273.712,25.534138
5,5802,Limache,273877.44,0.0464091,0.002406713,0.89485008,49931,295.985,168.69437
7,7401,Linares,248378.75,0.10866778,0.020121248,0.87279719,101073,1468.93,68.807228
6,6203,Litueche,235920.52,0.10374746,0.013476094,0.94443417,6765,612.638,11.04241
5,5703,Llaillay,293055.78,0.060456559,0.014800569,0.87419516,26533,348.795,76.070473
10,10107,Llanquihue,209732.14,0.16777532,0.059391826,0.93374515,18621,420.047,44.330753
13,13115,Lo Barnechea,651160.94,0.028141715,0.006627912,0.61089098,124076,1024.73,121.08165
13,13116,Lo Espejo,249659.84,0.058212992,0.012289281,0.85847765,103865,8.18165,12694.872
13,13117,Lo Prado,285706.03,0.051754069,0.007381178,0.82109374,104403,6.53509,15975.756
6,6304,Lolol,186748.39,0.1420003,0,0.94197029,7289,597.735,12.194367
9,9109,Loncoche,181386.34,0.299353,0.082876474,0.91406137,24739,973.903,25.401915
7,7403,Longavi,169753.13,0.27487123,0.041489996,0.90808421,32810,1454.28,22.560993
9,9205,Lonquimay,188511.59,0.35571152,0.088466153,0.97211194,11049,3932.85,2.809413
5,5301,Los Andes,354991.16,0.063447535,0.034222856,0.7540614,68093,1252.61,54.360893
14,14104,Los Lagos,215102.91,0.15607375,0.050902888,0.93810135,20518,1792.21,11.448435
10,10106,Los Muermos,279943.34,0.089841418,0.02707186,0.88985467,17817,1231.75,14.464786
9,9206,Los Sauces,201248.25,0.22741549,0.087980859,0.92913675,7517,851.973,8.8230495
4,4203,Los Vilos,236295.31,0.16564849,0.001456861,0.9315815,23374,1860.3,12.56464
8,8206,Los alamos,201489.05,0.13761845,0.06894657,0.97239393,22524,602.52,37.382992
8,8301,Los angeles,265159.53,0.1680381,0.041596666,0.86507422,218515,1752.32,124.70039
8,8106,Lota,219104.19,0.17468075,0.038705416,0.92129016,45750,114.933,398.05801
9,9207,Lumaco,161960.91,0.33214405,0.1054857,0.94158226,10050,1112.64,9.0325708
6,6108,Machali,412376.22,0.073424503,0.031831879,0.67897707,59913,2594.05,23.096317
13,13118,Macul,354729.25,0.074265897,0.005606766,0.68252873,134635,12.7941,10523.21
14,14105,Mafil,252154.8,0.10183853,0.030055955,0.82557952,7389,579.902,12.741808
13,13119,Maipu,366328.66,0.023977986,0.004133551,0.69708228,578605,138.038,4191.6357
6,6109,Malloa,244240.86,0.10514335,0.014298926,0.88276303,14163,219.766,64.445816
6,6204,Marchihue,221420.66,0.038546797,0.014778325,0.89458126,7632,658.693,11.586581
2,2302,Maria Elena,288820.75,0.041870825,0.023162583,0.61336303,6814,12200.8,0.55848795
13,13504,Maria Pinto,204762.47,0.12482317,0.041940585,0.84904718,14926,394.507,37.834564
14,14106,Mariquina,207406.22,0.15426901,0.071286552,0.89789474,23250,1299.84,17.886816
7,7105,Maule,198643.36,0.1016575,0,0.96905714,60000,237.372,252.76781
10,10108,Maullin,199555.06,0.1730136,0.029637761,0.92848098,14894,813.892,18.299725
2,2102,Mejillones,312419.16,0.07973168,0.059352975,0.71223569,14776,3569.51,4.139504
9,9110,Melipeuco,217973.72,0.25933126,0.056959566,0.80229396,6265,1107.73,5.6557102
13,13501,Melipilla,261528.19,0.04861936,0.002746437,0.86069256,141612,1341.65,105.55063
